"","SBS1","SBS2","SBS3","SBS4","SBS5","SBS6","SBS7a","SBS7c","SBS8","SBS9","SBS10a","SBS10d","SBS11","SBS12","SBS13","SBS14","SBS15","SBS16","SBS17","SBS17a","SBS18","SBS19","SBS20","SBS22","SBS23","SBS24","SBS26","SBS28","SBS30","SBS31","SBS32","SBS33","SBS35","SBS38","SBS44","SBS52","SBS53","SBS57","SBS84","SBS87","SBS88","SBS90","SBS92","SBS93","SBS94","SBS95","SBS96","SBS97","SBS98","SBS99","SBS100","SBS101","SBS102","SBS103","SBS104","SBS105","SBS106","SBS107","SBS108","SBS109","SBS110","SBS111","SBS112","SBS113","SBS114","SBS115","SBS116","SBS117","SBS118","SBS119","SBS120","SBS121","SBS122","SBS123","SBS124","SBS125","SBS126","SBS127","SBS128","SBS129","SBS130","SBS131","SBS132","SBS133","SBS134","SBS135","SBS136","SBS137","SBS138","SBS139","SBS140","SBS141","SBS142","SBS143","SBS144","SBS145","SBS146","SBS147","SBS148","SBS149","SBS150","SBS151","SBS152","SBS153","SBS154","SBS155","SBS156","SBS157","SBS158","SBS159","SBS160","SBS161","SBS162","SBS163","SBS164","SBS165","SBS166","SBS167","SBS168","SBS169"
"0009b464-b376-4fbc-8a56-da538269a02f",200.233322934116,1013.84352721774,248.740581692698,0,0,0,0,0,4038.67217043613,0,0,0,0,0,1139.39097206073,44.7368524713561,0,0,0,0,656.355751159098,0,0,0,0,0,0,0,0,0,0,0,1839.32589350718,0,0,0,0,0,0,0,0,0,0,50.6639455398983,0,0,0,0,0,74.6568104337995,0,0,0,0,0,0,0,0,4.60117245424024,0,96.7279416902025,1355.02781950112,875.581968147591,0,0,0,0,0,0,0,0,109.960315890174,0,0,0,0,0,0,0,0,822.093874995911,0,0,0,0,0,0,0,0,0,1393.48517325283,0,0,0,0,124.969179028585,0,0,0,0,0,0,0,0,0,0,0,1057.08356480143,0,71.4105340758768,0,0,0,0,0,0,0,0,0,0
"00493087-9d9d-40ca-86d5-936f1b951c93",799.967027253949,0,0,0,1543.47153359629,47.9529468713503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7683584547077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00508f2b-36bf-44fc-b66b-97e1f3e40bfa",186.429726066395,14.5474503888023,0,94.3546257466332,1090.08238508266,0,0,0,0,0,0,0,0,0,68.3478205693545,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9502703084244,13.3117608748368,0,0,0,0,0,7.59771712328621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.336913612747,0,0,0,7.73651204599185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.5556111068489,0,0,0,0,0,0,0,25.3455343556514,0,0,32.6656965984327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.148991261915,92.7739607939164,0,92.7931536486408,0,0,0,0,0,0,0,0,0
"005794f1-5a87-45b5-9811-83ddf6924568",0,0,0,0,794.789696419967,0,0,0,347.892157562739,0,0,0,0,0,44.4653674015099,0,0,0,0,0,0,5.23819564969734,0,0,177.780269774192,0,0,0,0,0,132.912714442758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.259229375114,0,0,0,0,0,0,1068.4980355896,0,0,189.644000744367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759.238616098917,0,0,0,0,333.877137957723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"005e85a3-3571-462d-8dc9-2babfc7ace21",554.057111030126,0,0,0,14.3851183823936,50.7603865845081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1731854614019,0,0,0,47.1345147263607,0,0,0,0,0,0,0,0,0,0,0,32.6637356011486,46.4040208995628,0,89.9618854569581,0,0,0,38.3121795450239,0,0,0,0,0,0,0,0,0,0,23.544005961857,0,0,0,0,0,0,74.0755728201228,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5747441016862,0,0,0,0,0,0,0,10.8613109919291,0,0,0,0,0,0,14.2442665656224,0,0,0,7.61811771503715,0,10.1366913763315,0,0,0,21.0109240310856,0,28.2924226569483,5.30093369336244,0,0
"008aef39-0c97-48ce-9dfd-f12d67116c59",974.782790200993,66.4710333699611,0,0,320.59090580522,0,0,0,0,0,0,0,0,0,1.76081964590742,0,110.453357562399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09309693266814,0,0,0,0,0,0,0,0,0,0,0,24.8394273664398,0,0,0,0,0,0,0,0,0,0,7.47971083591803,0,0,583.529902101356,0,0,0,0,0,0,0,0,0,0,0,0,205.362859384989,0,0,3.44615746338398,0,0,0,244.034154273075,56.3655396220074,0,0,0,0,0,0,0,0,0.270945265100258,0,48.6400031621625,0,0,0,0,4.61567865743674,63.1427426330461,0,4.96547134593897,0,0,0,0,0,0,0,0,0,35.7383117104281,0,0,0,0,0,0,0,0,0,229.160524648039,0,0
"008bad10-d41b-4bbb-86fa-9976ecea46b1",1073.24902711319,0,0,0,374.068664064477,42.2398463187314,0,0,0,0,0,0,0,0,31.321162316314,0,0,0,0,0,0,0,0,0,8.73107221578285,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12855741515699,0,0,0,0,0,0,0,0,0,0,0,86.6828686782461,0,0,120.708780698329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.33461508334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5465668151599,0,0,0.316846829620285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00aa769d-622c-433e-8a8a-63fb5c41ea42",2917.71245681444,892.952787577972,0,0,0,0,0,0,0,0,250729.555629534,2010.99461977429,584.105285484622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504.148611864794,0,0,0,0,0,0,0,0,0,0,1946.22110896615,0,1519.71584093657,0,0,736.359505653092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00b9d0e6-69dc-4345-bffd-ce32880c8eef",514.76695013242,23.045707910497,0,0,0,0,0,0,0,956.658604578932,0,0,0,0,0,169.924680965307,0,0,239.303464185147,83.478616779634,0.0223798224694055,0,0,0,0,0,0,7.19026055923759,0,0,10.0682189012164,0,0,0,0,0,0,0,84.486862156172,0,67.4712288487983,0,0,0,0,211.351955873396,0,0,0,38.0751827735577,63.4491987636063,0,38.57049139158,122.332389247719,0,0,0,0,0,0,0,0,0,0,0,0,53.4214754284537,0,0,0,0,0,0,303.53222517046,0,0,0,248.354388714269,0,0,74.4323987269861,0,0,0,0,0,12.4718792512481,0,16.5290060470945,6.7369803791759,0,0,0,0,0,0,0,0,0,0,0,19.92801018697,0,30.2979080942559,20.8877166911642,0,184.042237086255,0,0,0.463510752395398,0,132.028832626334,99.4280273835958,0,0,0,161.639628525921,0,0,1.33585210307072
"00bf0350-8c7c-4b9e-8143-13ea2dc1122f",0,116.467796030777,0,0,0,48.8840423415745,0,12.1923485817632,0,0,0,0,0,0,140.024082796385,0,0,0,0,6.77885412390678,213.798688618666,5.87790973323304,0,0,0,0,0,157.140152902438,0,0,24.8212221262951,0,0,0.461830323068208,0,0,0,8.69157357293556,0,0,0,0,365.912316280741,0,0,0,0,0,0,0,184.788887214034,0,177.02012334028,0,0,0,0,1736.80124649825,0,0,0,0,0,0,63.0635776214755,0,0,0,0,0,0,0,0,0,0,1086.89199790647,0,0,0,0,64.5094573363927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5163957450302,0,0,78.3686637601377,0,0,0,0,0,0,0,202.376029153551,0,0.854019968831398,0
